	Obs	Control_mean	Control_sd	Difference	p_val	
hh_size	      1220	 5.0377049	 1.6662124	 .09508197	 .30339539	
adult	      1220	 3.4385246	 1.4655993	-.01147541	 .87308066	
children	      1220	 1.5991803	 1.2282561	 .10409836	 .09824132	
male_head	      1216	 .90707237	 .29045045	-.01224903	 .38105152	
head_age	      1216	 41.149671	 10.839448	-.24349821	 .67618949	
head_noeduc	      1216	 .37006579	 .48302067	-.00769931	 .78692264	
spandana	      1213	         0	         0	 .00656814	 .19511495	
othermfi	      1213	 .01071723	 .10301029	 .00652415	  .4525513	
bank	      1213	  .0362737	 .18704749	 .00149313	 .85879953	
informal	      1213	 .63231657	 .48237346	 .00150937	 .95821567	
anyloan	      1213	  .6801319	 .46661761	 .00213411	 .94190734	
spandana_amt	      1213	         0	         0	 68.965517	 .19189141	
othermfi_amt	      1213	 201.15416	 2742.3639	 170.35651	 .56826163	
bank_amt	      1213	 7438.1698	 173268.34	-5419.6969	 .27858089	
informal_amt	      1213	 28460.016	 65312.156	-570.45984	 .85585616	
anyloan_amt	      1213	 37892.003	 191291.57	 -5878.555	 .34298031	
total_biz	      1220	 .31967213	 .68220548	-.01885246	 .57905684	
female_biz	      1220	 .14508197	 .40028752	-.00655738	 .74983903	
female_biz_pct	       295	 .48828087	 .48235037	-.00559308	 .90405433	
bizrev	       295	 15990.644	 53488.748	 4501.2292	 .53892195	
bizexpense	       295	 3617.4163	 26144.038	 640.55242	 .75066496	
bizinvestment	       295	 384.71186	  3156.815	 14.478276	 .95852791	
bizemployees	       295	 .16949153	 .82792549	 .25453674	 .14798657	
hours_weekbiz	       295	 76.315254	 66.054443	 -4.587339	 .41354792	
bizrev_allHH	      1220	 3866.5902	 27146.787	 903.64918	 .62579339	
bizexpense_allHH	      1220	 874.70311	 12932.557	 116.49615	 .81190584	
bizinvestment_allHH	      1220	  93.02459	 1559.0523	-.09836066	    .99883	
bizemployees_allHH	      1220	 .04098361	 .41302702	 .05745774	 .16588501	
hours_weekbiz_allHH	      1220	 18.453279	 46.053651	-1.8011048	 .40030723	
total_exp_mo	      1220	 4888.4311	 4074.3716	 269.68268	 .23217538	
nondurable_exp_mo	      1220	 4734.6854	 3839.8025	 251.81929	  .2345783	
durables_exp_mo	      1220	  153.7457	 584.59415	 17.863388	 .53120615	
home_durable_index	      1220	 1.9413688	 .82906791	 .02694361	 .66887682	
