	Obs_el1	Control_mean_el1	Control_sd_el1	Obs_el2	Control_mean_el2	Control_sd_el2	Difference	p_val	
hhsize	      3264	 5.6452206	 2.1517061	      2943	 6.2691131	 2.5479002	 .62389256	 1.347e-22	
adults	      3264	 3.8866422	 1.7542958	      2943	  4.038736	 1.8482159	 .15209383	 .00001698	
children	      3264	 1.7377451	 1.3095175	      2943	 1.7638464	 1.3211238	 .02610132	 .24699996	
male_head	      3261	 .89451089	 .30722973	      2938	 .81109598	 .39149899	 -.0834149	 1.713e-11	
head_age	      3257	  41.14891	 10.221965	      2940	 42.257823	 10.153644	 1.1089131	 5.282e-08	
head_noeduc	      3256	 .31142506	 .46314725	      2940	 .29183673	 .45468492	-.01958833	 .02085603	
spandana	      3247	 .05050816	  .2190248	      2943	  .1114509	 .31474316	 .06094274	 .00001084	
othermfi	      3183	 .14860195	 .35575156	      2943	 .26843357	 .44321974	 .11983162	 3.353e-08	
anybank	      3247	 .07914998	 .27001429	      2943	 .07305471	  .2602705	-.00609528	 .47971957	
anyinformal	      3247	 .76101016	 .42653221	      2943	 .60346585	 .48926083	-.15754431	 4.934e-13	
anyloan	      3264	 .86734069	 .33925814	      2943	 .90417941	 .29439507	 .03683872	 .00003493	
spandana_amt	      3247	 597.44071	 2907.4863	      2943	   1566.64	 5618.3347	 969.19931	 1.169e-06	
othermfi_amt	      3200	 1806.0256	 5917.8355	      2943	 4775.0595	   10735.6	 2969.0338	 1.858e-12	
bank_amt	      3247	 8422.4306	 101952.81	      2943	 6126.5227	 40307.631	-2295.9079	 .22052949	
informal_amt	      3247	 41044.622	 78032.524	      2943	 32355.986	 76704.161	 -8688.636	 .00001033	
anyloan_amt	      3264	 59836.265	  133692.6	      2943	  88631.46	 144634.29	 28795.195	 1.166e-11	
total_biz	      3236	 .50278121	 .85429635	      2943	 .56099218	 .78713351	 .05821097	 .00263982	
female_biz_allHH	      3209	 .18541602	 .48694857	      2943	 .23445464	 .51957805	 .04903862	  .0002224	
female_biz_pct	      1104	 .37486988	 .45172475	      1231	  .4027233	 .45401107	 .02785342	 .08930855	
bizrev	      1039	 14700.013	 56350.095	      1218	 14065.568	 23712.691	-634.44554	 .72368472	
bizexpense	      1071	 12030.019	 51530.877	      1218	 12568.392	  30483.26	 538.37226	 .76866198	
bizinvestment	      1127	 785.49423	 6805.9292	      1231	 2331.0519	 14645.244	 1545.5577	 .00130941	
bizemployees	      1103	 .37987307	 1.6438394	      1231	 .56458164	 2.9376468	 .18470857	 .06224333	
hours_week_biz	      1103	 100.02811	  69.86922	      1231	 88.467912	 60.155155	-11.560193	 .00010468	
bizrev_allHH	      3145	 4856.3797	 33108.373	      2930	 5847.0518	 16784.004	 990.67214	 .10509021	
bizexpense_allHH	      3177	 4055.4456	 30446.184	      2930	 5224.6761	 20602.828	 1169.2305	 .08757371	
bizinvestment_allHH	      3231	 280.06871	 4038.0395	      2943	 1007.3149	 9622.5713	 727.24622	 .00053368	
bizemployees_allHH	      3209	 .13057027	 .98021116	      2943	 .23615358	 1.9197773	 .10558331	 .01105927	
hours_week_biz_allHH	      3209	 34.381739	 62.727072	      2943	 37.004417	 58.462952	 2.6226784	 .05609588	
total_exp_mo	      3248	  6375.239	 4906.4903	      2943	 8787.0714	 6547.0734	 2411.8324	 7.855e-19	
nondurable_exp_mo	      3230	 5831.3083	 4212.4569	      2943	 8050.4557	  5779.852	 2219.1474	 5.014e-20	
durables_exp_mo	      3230	 550.78557	 1623.4568	      2941	 719.89146	 1536.4624	 169.10589	 .00008809	
home_durable_index	      3254	 2.3712341	 .86122983	      2943	 2.6622293	 .82782937	  .2909952	 9.804e-17	
