	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)
VARIABLES	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls
																						
treatment	1,129	360.1	0.166***	0.0784***	1,129	360.1	0.166***	0.0784***	1,129	360.1	0.166***	0.0784***	1,129	360.1	0.166***	0.0784***	1,129	360.1	0.166***	0.0784***	1,700***	1,202***
	(810.1)	(430.6)	(0.00858)	(0.00919)	(810.1)	(430.6)	(0.00858)	(0.00919)	(810.1)	(430.6)	(0.00858)	(0.00919)	(810.1)	(430.6)	(0.00858)	(0.00919)	(810.1)	(430.6)	(0.00858)	(0.00919)	(105.5)	(169.6)
area_pop_base	0.964	-0.258	-6.91e-06	-5.37e-05*	0.964	-0.258	-6.91e-06	-5.37e-05*	0.964	-0.258	-6.91e-06	-5.37e-05*	0.964	-0.258	-6.91e-06	-5.37e-05*	0.964	-0.258	-6.91e-06	-5.37e-05*	0.208	-0.145
	(2.760)	(1.468)	(2.93e-05)	(3.13e-05)	(2.760)	(1.468)	(2.93e-05)	(3.13e-05)	(2.760)	(1.468)	(2.93e-05)	(3.13e-05)	(2.760)	(1.468)	(2.93e-05)	(3.13e-05)	(2.760)	(1.468)	(2.93e-05)	(3.13e-05)	(0.359)	(0.578)
area_debt_total_base	0.0797***	0.00989	1.24e-06***	3.81e-07**	0.0797***	0.00989	1.24e-06***	3.81e-07**	0.0797***	0.00989	1.24e-06***	3.81e-07**	0.0797***	0.00989	1.24e-06***	3.81e-07**	0.0797***	0.00989	1.24e-06***	3.81e-07**	0.0155***	0.00680**
	(0.0147)	(0.00761)	(1.52e-07)	(1.63e-07)	(0.0147)	(0.00761)	(1.52e-07)	(1.63e-07)	(0.0147)	(0.00761)	(1.52e-07)	(1.63e-07)	(0.0147)	(0.00761)	(1.52e-07)	(1.63e-07)	(0.0147)	(0.00761)	(1.52e-07)	(1.63e-07)	(0.00193)	(0.00300)
area_business_total_base	79.18	34.59	-0.00259***	-0.00272***	79.18	34.59	-0.00259***	-0.00272***	79.18	34.59	-0.00259***	-0.00272***	79.18	34.59	-0.00259***	-0.00272***	79.18	34.59	-0.00259***	-0.00272***	-27.87***	-51.73***
